Position,Player Name,Team,Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Hundreds,Fifties,Fours,Sixes,Image Link
38,Cameron Green,RCB,13,12,4,255,46,31.88,178,143.25,0,0,22,10,https://scores.iplt20.com/ipl/playerimages/Cameron%20Green.png?v=4
39,Quinton De Kock,LSG,11,11,0,250,81,22.73,186,134.40,0,3,29,9,https://scores.iplt20.com/ipl/playerimages/Quinton%20De%20Kock.png?v=4
40,Ajinkya Rahane,CSK,13,12,0,242,45,20.17,196,123.46,0,0,23,7,https://scores.iplt20.com/ipl/playerimages/Ajinkya%20Rahane.png?v=4
41,Tim David,MI,13,11,3,241,45*,30.13,152,158.55,0,0,14,15,https://scores.iplt20.com/ipl/playerimages/Tim%20David.png?v=4
42,Ayush Badoni,LSG,14,12,4,235,55*,29.38,171,137.42,0,2,22,5,https://scores.iplt20.com/ipl/playerimages/Ayush%20Badoni.png?v=4
43,Axar Patel,DC,14,12,4,235,66,29.38,179,131.28,0,2,19,10,https://scores.iplt20.com/ipl/playerimages/Axar%20Patel.png?v=4
44,Will Jacks,RCB,8,8,1,230,100*,32.86,131,175.57,1,1,16,18,https://scores.iplt20.com/ipl/playerimages/Will%20Jacks.png?v=4
45,Andre Russell,KKR,15,9,2,222,64*,31.71,120,185.00,0,1,20,16,https://scores.iplt20.com/ipl/playerimages/Andre%20Russell.png?v=4
46,Rachin Ravindra,CSK,10,10,0,222,61,22.20,138,160.86,0,1,22,12,https://scores.iplt20.com/ipl/playerimages/Rachin%20Ravindra.png?v=4
47,Aiden Markram,SRH,11,11,2,220,50,24.44,177,124.29,0,1,18,4,https://scores.iplt20.com/ipl/playerimages/Aiden%20Markram.png?v=4
48,Hardik Pandya,MI,14,13,1,216,46,18.00,151,143.04,0,0,17,11,https://scores.iplt20.com/ipl/playerimages/Hardik%20Pandya.png?v=4
49,Shahbaz Ahmed,SRH,16,12,3,215,59*,23.89,166,129.51,0,1,7,13,https://scores.iplt20.com/ipl/playerimages/Shahbaz%20Ahmed.png?v=4
50,Rilee Rossouw,PBKS,8,8,0,211,61,26.38,116,181.89,0,1,25,11,https://scores.iplt20.com/ipl/playerimages/Rilee%20Rossouw.png?v=4
51,David Miller,GT,9,9,3,210,55,35.00,139,151.07,0,1,20,8,https://scores.iplt20.com/ipl/playerimages/David%20Miller.png?v=4
52,Prithvi Shaw,DC,8,8,0,198,66,24.75,121,163.63,0,1,30,5,https://scores.iplt20.com/ipl/playerimages/Prithvi%20Shaw.png?v=4
53,Dhruv Jurel,RR,15,11,3,195,56*,24.38,141,138.29,0,2,18,7,https://scores.iplt20.com/ipl/playerimages/Dhruv%20Jurel.png?v=4
54,Ashutosh Sharma,PBKS,11,9,2,189,61,27.00,113,167.25,0,1,10,15,https://scores.iplt20.com/ipl/playerimages/Ashutosh%20Sharma.png?v=4
55,Rahul Tewatia,GT,12,9,2,188,36*,26.86,129,145.73,0,0,24,5,https://scores.iplt20.com/ipl/playerimages/Rahul%20Tewatia.png?v=4
56,Jitesh Sharma,PBKS,14,12,1,187,32*,17.00,142,131.69,0,0,9,12,https://scores.iplt20.com/ipl/playerimages/Jitesh%20Sharma.png?v=4
